id;pan;masked_pan;type_card;card_type_elma;expire_date;balance
1;migration Peso bandwidth;Эритрея;HUMO;CREDIT;2021-11-22;91317
2;PCI запрограммировать;багровый Носки artificial;HUMO;CREDIT;2021-11-22;5361
3;координатор Резиновый ИИ;complexity;HUMO;CREDIT;2021-11-21;74206
4;черный Куртка онлайн;Панама eco-centric нейронный;HUMO;CREDIT;2021-11-22;6170
5;XSS темно-фиолетовый;порт ул.;HUMO;CREDIT;2021-11-22;37977
6;Бакалея ключ;руководитель context-sensitive;HUMO;CREDIT;2021-11-22;4387
7;ROI systematic сотрудник;Polarised Региональный;HUMO;CREDIT;2021-11-22;48139
8;Гранитный;Berkshire Savings invoice;HUMO;CREDIT;2021-11-22;8380
9;Фиджи Account темно-фиолетовый;Progressive payment;HUMO;CREDIT;2021-11-21;52574
10;Потрясающий оптический technologies;Национальный;HUMO;CREDIT;2021-11-21;92241
